# A row may carry `frame=<ported class>` as a trailing TAB-separated field — the `unit` the
# correlator anchors the failure at, copied from `run-latest/test-failures.tsv`. Keyed on (suite,
# test) alone a row absorbs a NEW failure with a DIFFERENT cause in the same test, silently, and
# the sentence below would then be about something that is not happening; anchored, the claim stops
# holding the moment the failure moves and the failure counts UNEXPECTED. The column is optional
# for the files that predate it; a new row should carry one.
#suite	test	reason	[frame=<ported class>]
ssg.liquid.filters.SortTest	testSortMap	maintainer decision 2026-08-14: Map.Entry stays Tuple2 (idiomatic pairs) and a class IMPLEMENTING Map.Entry is unsupported — scala's idiom for custom-comparison sorting is an Ordering, not an entry subclass; the counted InexpressibleParent/ReifiedOccurrence refusal on Sort$ComparableMapEntry is the mechanism (ENGINE-LIMITS K18/K5.7)	frame=ssg.liquid.nodes.FilterNode
ssg.liquid.ReadmeSamplesTest	testEagerMode	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.ReadmeSamplesTest	testInspectable	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.TemplateTest	renderMapWithPojosExistedNotRender	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.TemplateTest	renderObjectTest	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.Template
ssg.liquid.TemplateTest	testDeepInspectable	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.TemplateTest	testRenderInspectable	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.TemplateTest	testRenderInspectableDateType	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.blocks.ForTest	test_for_with_drop_value_range	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.filters.Relative_UrlTest	testsShouldTransformTheInputBaseurlToAString	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.nodes.FilterNode
ssg.liquid.filters.SizeTest	applyOriginalTest	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.filters.SortTest	testInspectable	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.filters.where.JekyllWhereImplTest	shouldFilterArrayPropertiesAlongsideStringProperties	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.Template
ssg.liquid.filters.where.JekyllWhereImplTest	shouldFilterArrayPropertiesAppropriately	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.Template
ssg.liquid.filters.where.JekyllWhereImplTest	shouldFilterHashPropertiesWithNullAndEmptyValues	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.Template
ssg.liquid.filters.where.JekyllWhereImplTest	shouldFilterObjectsAppropriately	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.Template
ssg.liquid.filters.where.JekyllWhereImplTest	testFilterObjectsWithNullPropertiesAppropriately	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.Template
ssg.liquid.filters.where.LiquidWhereImplTest	testWhereWhenDateCompatibleTypes	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.nodes.FilterNode
ssg.liquid.filters.where.LiquidWhereImplTest	testWhereWhenDateTypes	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.nodes.FilterNode
ssg.liquid.nodes.GtEqNodeTest	testDateTypes	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.nodes.GtNodeTest	testDateTypes	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.nodes.LtEqNodeTest	testDateTypes	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.nodes.LtNodeTest	testDateTypes	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	renderMapWithPojosWithMarkingInspectable	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	renderMapWithPojosWithNewRenderingSettings	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testLookupNode1b	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testLookupNode2a	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testLookupNode2b	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testLookupNodeSize1b	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testLookupNodeSize2a	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testLookupNodeSize2b	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testMapFilter1b	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.nodes.FilterNode
ssg.liquid.parser.LiquidSupportTest	testMapFilter2a	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
ssg.liquid.parser.LiquidSupportTest	testMapFilter2b	maintainer decision 2026-09-20: jackson is off this port's compile classpath, and the one jackson operation with no cross-platform meaning is reading an arbitrary object's FIELDS — Inspectable and EAGER evaluate mode. JsonMapper.normalise refuses it by name (UnsupportedOperationException) instead of answering with an empty map; a java.util.Map and a LiquidSupport answering toLiquid() are both still converted	frame=ssg.liquid.parser.LiquidSupport
