#file	origin	adjustment	why
(all others)	sge/src/main/scaladesktop/sge/**, sge/src/main/scala/sge/noop/*, SgeExtension, FrameHookHost, HeadlessApplicationConfig, audio/WavInputStream, scalajvm DesktopApplicationFactory + audio/DesktopAudioRecorder, utils/SgeError	copied verbatim	sge's desktop backend and the sge-original leaves it needs (PROGRESS.md §13.30 step 3)
sge/DefaultDesktopInput.scala, sge/noop/NoopInput.scala	scaladesktop	Key/Button -> Int (Nanos and Pixels at InputEventQueue kept: the derive step reads the slots off sge); x/y/deltaX/deltaY/pressure(pointer) -> getX/getY/getDeltaX/getDeltaY/getPressure; setInputProcessor -> inputProcessor_=; currentEventTime: Long	the port keeps java's Int key/button codes (sge's Key/Button opaques are ladder-step cards)
sge/DesktopGraphics.scala, sge/noop/NoopGraphics.scala	scaladesktop, noop	glVersion -> GLVersion; setContinuousRendering -> continuousRendering_=; graphicsType -> `type`; new Graphics.DisplayMode/Monitor/BufferFormat (plain classes); GLVersion built under the window's context; rawDeltaTime: Float added (java's getRawDeltaTime, absent from sge)	the port's Graphics is java's (bean-property spellings); sge's are renames
sge/DesktopApplication.scala, sge/HeadlessApplication.scala, sge/DesktopApplicationBase.scala	scaladesktop	applicationType -> `type`; extend JavaLoggingApplication; DesktopFiles(() => context); preferences handles take the context	the port's Application keeps java's log level/ApplicationLogger/log members and does not extend FrameHookHost
sge/JavaLoggingApplication.scala	(port-written)	new	java's logging surface over sge's Log, plus FrameHookHost, for both applications
sge/files/DesktopFileHandle.scala, sge/files/DesktopFiles.scala	scaladesktop	rewritten: FileHandle(file, type)(using Sge); the context read per call	the port's FileHandle carries the Sge context (external storage read from it) where sge's takes the external path
sge/files/DesktopPreferences.scala	scaladesktop	3-arg ctor -> (name, directory)(using Sge); exists() -> exists	same; the port's FileHandle.exists is parenless
sge/DesktopApplicationConfig.scala, sge/DesktopWindowConfig.scala	scaladesktop	import sge.files.FileType -> sge.Files.FileType	the port keeps java's nested Files.FileType
sge/audio/MiniaudioMusic.scala, sge/noop/NoopMusic.scala	scaladesktop, noop	Position -> Float; onComplete kept, setOnCompletionListener added over it	the port's Music.position is a Float and keeps java's listener (sge's Position opaque is a ladder-step card)
sge/net/DesktopNet.scala	scaladesktop	rewritten to java's Net: sendHttpRequest fails with SgeError.Unsupported (NetJavaImpl is dropped by the net step and nothing replaces it yet); sockets and openURI as sge's	sge routes HTTP through SgeHttpClient (sttp), which the port does not carry
(omitted)	scaladesktop/sge/utils/XmlReaderImpl.scala, scala/sge/utils/PoolManager.scala	not copied	the port's XmlReader is java's, self-contained; PoolManager is MINTED by the pool step's registry (an injected copy overwrote it)
