#subject	status	evidence	spelling	decided_by
ComponentType#getIndex	justified	sge ISS-017 resolved; EntitySystem.scala "Idiom: processing as public var (replaces get/set pair)"; 35 sge core files carry Fixes: headers about getter/setter removal	(b) BeanCollapse idiom phase	div-accessor
ComponentType#index	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
EntitySystem#getEngine	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
EntitySystem#setProcessing	justified	EntitySystem.scala "Idiom: processing as public var (replaces get/set pair)"	(b) BeanCollapse idiom phase	div-accessor
Family#getIndex	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
Family#index	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
IntervalIteratingSystem#getFamily	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
IntervalSystem#getInterval	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
IteratingSystem#getFamily	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
SortedIteratingSystem#getFamily	justified	sge ISS-017 resolved; getter/setter collapse convention	(b) BeanCollapse idiom phase	div-accessor
Engine#registerComponentFactory	justified	sge 80b3fc64 "ReflectionPool -> factory registry"; ISS-723 c12; platform constraint (no reflection on JS/Native)	(c) library-specific injection	div-pooledengine
PooledEngine#factory	justified	PooledEngine.scala "Idiom: factory registry approach instead of ReflectionPool"; ISS-723 c12	(c) library-specific injection	div-pooledengine
#SystemListener	not-a-divergence	Java SystemManager.java:65-67 declares inner interface SystemListener; hand port places it in companion	census artefact	div-systemlistener
SystemListener#systemAdded	not-a-divergence	Java SystemManager.java:65-67 declares systemAdded in inner interface	census artefact	div-systemlistener
SystemListener#systemRemoved	not-a-divergence	Java SystemManager.java:65-67 declares systemRemoved in inner interface	census artefact	div-systemlistener
ImmutableArray#apply	justified	ImmutableArray.scala "Idiom: wraps ArrayBuffer, implements Iterable[A]"; type-mappings.md "Array -> ArrayBuffer"	(b) injection or substitution for ImmutableArray	div-immutablearray
