#id	check	kind	owner	path	line	detail
6f9f82637beb	base-surface	unanswered	sge.Game#screen		0	sge-l0 publishes 2 overloads of sge.Game#screen and they do not agree (name=screen$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
075229bbe9cc	base-surface	unanswered	sge.InputEventQueue#currentEventTime		0	sge-l0 publishes 2 overloads of sge.InputEventQueue#currentEventTime and they do not agree (name=currentEventTime$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
e7733e26a212	base-surface	unanswered	sge.InputMultiplexer#processors		0	sge-l0 publishes 2 overloads of sge.InputMultiplexer#processors and they do not agree (name=processors$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
55aef1e3448b	base-surface	unanswered	sge.Net$HttpRequest#content		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#content and they do not agree (name=content$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
90aecb3704fc	base-surface	unanswered	sge.Net$HttpRequest#contentLength		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#contentLength and they do not agree (name=contentLength$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
b8fedf217074	base-surface	unanswered	sge.Net$HttpRequest#contentStream		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#contentStream and they do not agree (name=contentStream$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
043d188ec4ab	base-surface	unanswered	sge.Net$HttpRequest#followRedirects		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#followRedirects and they do not agree (name=followRedirects$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
3d0fdaae5d07	base-surface	unanswered	sge.Net$HttpRequest#headers		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#headers and they do not agree (name=headers$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
58c124903ecc	base-surface	unanswered	sge.Net$HttpRequest#includeCredentials		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#includeCredentials and they do not agree (name=includeCredentials$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
a1795085a078	base-surface	unanswered	sge.Net$HttpRequest#timeOut		0	sge-l0 publishes 2 overloads of sge.Net$HttpRequest#timeOut and they do not agree (name=timeOut$field; form=parenless) — a symbol carries no parameter spelling here, so the name cannot be resolved to one of them — this run would rename it for a field-vs-method it can only see because its own declarations are in the same program as the base's; the local derivation stands, and it may not be the name the base emitted  [base: sge-l0]  [§1(b) PER-LIBRARY: declare the module that emits this field as a base (`base = "…"`) and re-run it with this engine so its port map carries a `name=` row]
